sampleID	genepop_pop	pop	.sample.id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
23-07477,	23-07451,	Pelee_Island	26	0.06917075566391478	-0.038688835661360436	0.11612613304866322	0.06571198409411416	-0.004387955171168653	-0.07290807310051904	0.010763767632308019	-0.03341635075022931	0.011317853026608427
23-07478,	23-07451,	Pelee_Island	27	-0.0012582638130201158	0.07230947602913644	-0.011554586400134442	0.07395426046506966	-0.05468026847266733	-0.006673335889934684	-0.06556784962338949	0.11129498824598447	-5.324069286510857e-4
23-07479,	23-07451,	Pelee_Island	28	0.09020174766952166	-0.06644925025801876	-0.014461926810836193	0.04966659938009169	-0.07724216889383821	-0.07384165082914357	-0.026705287218106416	0.019302168985932067	0.05269793481109786
23-07480,	23-07451,	Pelee_Island	29	0.0046056175875661375	0.021506719835499576	0.023573985418079802	0.028400147470766062	-0.008790573713971335	0.05714748654998574	0.006660975184841683	0.006780136721640517	-0.04956291847319272
23-07481,	23-07451,	Pelee_Island	30	0.02112625454712944	0.04022408900540254	0.012581284663888246	-0.055327577721973796	0.04165020252777682	-0.09831940792140861	-0.04797994867160412	-0.010595016690400055	0.024309125546753074
23-07482,	23-07451,	Pelee_Island	31	-0.059935075999207284	-0.003382810880424222	-0.060218980094849446	-0.0037896836643757184	0.0467060870961034	-0.03519093263167642	-0.07701387232745743	0.029122529534024194	0.029169725458225052
23-07483,	23-07451,	Pelee_Island	32	-0.07303543973710702	-0.03815059173829976	-0.03558862065988617	0.03608703784093612	0.007219519467553527	0.08959232350744288	-0.06921750368911979	0.008836920025458661	0.06821714636259871
23-07484,	23-07451,	Pelee_Island	33	0.0644832729510713	0.01545687038187977	-0.02353544059468268	0.06944569604469718	0.012349352971285841	0.0015938435639361332	0.08273075123061495	0.04800536412315004	0.05793721913427646
23-07485,	23-07451,	Pelee_Island	34	0.05281647048587586	-0.09997660274933565	-0.03225451594523747	0.0352374773659954	0.07247289782619241	-0.06576870137420425	0.0541886205426516	-6.00549022629196e-4	0.10167046130440605
23-07486,	23-07451,	Pelee_Island	35	-0.025055788802453672	-0.07310749407897245	0.10365994932290946	0.03810737994544074	-0.028926232265891607	0.05159876924690175	-0.08103969864728863	0.07448429278838505	0.0080203327196592
23-07487,	23-07451,	Pelee_Island	36	0.08776653302380615	-0.052023750886146386	0.029780978846006913	0.010153936371630586	-4.9409908867146386e-5	-0.03839185191048118	-0.1104500777002603	-0.039381702959885384	0.004816732360397834
23-07488,	23-07451,	Pelee_Island	37	-0.11432449384029937	0.02747096706313599	0.05820749549078852	0.06301008118952922	0.03708820093915783	0.039824415969343566	-0.04791397866071669	-0.013284800638609998	0.01137466700053224
23-07489,	23-07451,	Pelee_Island	38	-0.05057107508644698	0.05495492905422379	0.027739466953818723	0.09517796736367014	-0.047155857655171586	0.00854872022689274	-0.05527133723850533	0.08631084077352855	0.003350121623361268
23-07490,	23-07451,	Pelee_Island	39	-0.03649652779746059	-0.042803364505435156	0.059606664703096744	-0.05543758630370237	0.013150436411137343	-0.0549171864418178	-0.06419589143075642	-0.08338240021813503	0.03949311484709843
23-07491,	23-07451,	Pelee_Island	40	0.026900042931144993	-0.011674431164787013	0.037952154540980935	-0.08940175690128825	0.09568493394533821	0.08329447039499774	0.03803936778147839	0.011910120905160616	0.12491782164525082
23-07492,	23-07451,	Pelee_Island	41	0.03537375536572104	0.01574552006103737	0.09270263453301385	-0.010013688367857085	0.1257507422740421	-0.041703123658587256	0.07026444534677956	0.009870297527381968	0.0021120798724488426
23-07493,	23-07451,	Pelee_Island	42	0.05842620664985647	0.03407182328187495	0.09536262765822051	0.09590713080968069	0.02578405187090234	0.013705678250755849	0.12141313926477787	0.0035079984753952458	0.07967478550649942
23-07494,	23-07451,	Pelee_Island	43	0.08079539511333522	0.07535562512196665	-0.08588423452581412	-0.008761614765820418	-0.03462521978916852	-0.07396511866311817	-0.07781169268956362	-0.007836779037716988	0.010159492872414553
